-79.00 -58.50   5.9
-78.50 -58.50   5.8
-78.00 -58.50   5.6
-77.50 -58.50   5.3
-77.00 -58.50   4.9
-76.50 -58.50   4.7
-76.00 -58.50   4.5
-75.50 -58.50   4.3
-75.00 -58.50   4.1
-74.50 -58.50   4.0
-74.00 -58.50   4.0
-73.50 -58.50   3.8
-73.00 -58.50   3.7
-72.50 -58.50   3.5
-72.00 -58.50   3.3
-71.50 -58.50   3.2
-71.00 -58.50   3.1
-70.50 -58.50   3.1
-70.00 -58.50   2.9
-69.50 -58.50   2.8
-69.00 -58.50   2.6
-68.50 -58.50   2.3
-68.00 -58.50   2.1
-67.50 -58.50   1.9
-67.00 -58.50   1.8
-66.50 -58.50   1.6
-66.00 -58.50   1.4
-65.50 -58.50   1.4
-65.00 -58.50   1.4
-64.50 -58.50   1.4
-64.00 -58.50   1.2
-63.50 -58.50   1.1
-63.00 -58.50   1.0
-62.50 -58.50   1.1
-62.00 -58.50   1.2
-61.50 -58.50   1.3
-61.00 -58.50   1.5
-60.50 -58.50   2.0
-60.00 -58.50   2.5
-59.50 -58.50   2.8
-59.00 -58.50   3.1
-58.50 -58.50   3.3
-58.00 -58.50   3.0
-57.50 -58.50   2.8
-57.00 -58.50   2.5
-56.50 -58.50   2.4
-56.00 -58.50   2.6
-55.50 -58.50   3.1
-55.00 -58.50   3.5
-54.50 -58.50   3.8
-54.00 -58.50   4.2
-53.50 -58.50   4.3
-53.00 -58.50   4.3
-52.50 -58.50   4.2
-52.00 -58.50   4.2
-51.50 -58.50   4.0
-51.00 -58.50   3.5
-50.50 -58.50   3.1
-50.00 -58.50   2.8
-49.50 -58.50   2.8
-49.00 -58.50   2.8
-48.50 -58.50   2.6
-48.00 -58.50   2.3
-47.50 -58.50   2.2
-47.00 -58.50   2.2
-46.50 -58.50   2.1
-46.00 -58.50   2.2
-45.50 -58.50   2.2
-45.00 -58.50   1.9
-44.50 -58.50   1.7
-44.00 -58.50   1.6
-43.50 -58.50   1.5
-43.00 -58.50   1.4
-42.50 -58.50   1.2
-42.00 -58.50   1.2
-41.50 -58.50   1.1
-41.00 -58.50   1.1
